Track Number,Album Artist,Song,Duration,Composer,Album,Artist,Plays,Year
1 of 20,Brandon Roberts,You Found Me (Unbroken: Path to Redemption),4:08,Switchfoot,Unbroken: Path to Redemption (Original Motion Picture Soundtrack),Switchfoot,1,2018
1 of 3,Switchfoot,Evergreen,5:54,,Backstage EP,Switchfoot,7,2012
2 of 3,Switchfoot,Afterlife,4:01,,Backstage EP,Switchfoot,7,2012
3 of 3,Switchfoot,Needle,3:37,,Backstage EP,Switchfoot,7,2012
1,Switchfoot,Oh! Gravity (Acoustic),2:57,,Backstage EP #4,Switchfoot,3,2015
2,Switchfoot,Saltwater Heart (Acoustic),4:04,,Backstage EP #4,Switchfoot,4,2015
3,Switchfoot,The World You Want (Acoustic),4:09,,Backstage EP #4,Switchfoot,2,2015
1 of 3,Switchfoot,Where The Light Shines Through (Acoustic),5:24,,Backstage EP #5,Switchfoot,21,2016
2 of 3,Switchfoot,Float (Acoustic),3:33,,Backstage EP #5,Switchfoot,23,2016
3 of 3,Switchfoot,I Won't Let You Go (Acoustic),4:33,,Backstage EP #5,Switchfoot,19,2016
1 of 11,Switchfoot,Meant To Live,3:20,Tim Foreman/Jon Foreman,The Beautiful Letdown (Deluxe Version),Switchfoot,89,2003
2 of 11,Switchfoot,This Is Your Life,4:18,Jon Foreman,The Beautiful Letdown (Deluxe Version),Switchfoot,58,2003
3 of 11,Switchfoot,More Than Fine,4:15,Jon Foreman,The Beautiful Letdown (Deluxe Version),Switchfoot,64,2003
4 of 11,Switchfoot,Ammunition,3:46,Jon Foreman,The Beautiful Letdown (Deluxe Version),Switchfoot,28,2003
5 of 11,Switchfoot,Dare You To Move,4:09,John Foreman,The Beautiful Letdown (Deluxe Version),Switchfoot,133,2003
6 of 11,Switchfoot,Redemption,3:07,Jon Foreman,The Beautiful Letdown (Deluxe Version),Switchfoot,50,2003
7 of 11,Switchfoot,The Beautiful Letdown,5:21,Jon Foreman,The Beautiful Letdown (Deluxe Version),Switchfoot,60,2003
8 of 11,Switchfoot,Gone,3:46,Jon Foreman/Tim Foreman,The Beautiful Letdown (Deluxe Version),Switchfoot,89,2003
9 of 11,Switchfoot,On Fire,4:39,Daniel Victor/Jon Foreman,The Beautiful Letdown (Deluxe Version),Switchfoot,24,2003
10 of 11,Switchfoot,Adding To The Noise,2:50,Jon Foreman/Tim Foreman,The Beautiful Letdown (Deluxe Version),Switchfoot,66,2003
11 of 11,Switchfoot,Twenty-Four,4:52,Jon Foreman,The Beautiful Letdown (Deluxe Version),Switchfoot,22,2003
12,Switchfoot,Monday Comes Around,3:32,,The Beautiful Letdown (Deluxe Version),Switchfoot,4,2007
13,Switchfoot,Dare You To Move,4:06,,The Beautiful Letdown (Deluxe Version),Switchfoot,18,2007
14 of 14,Switchfoot,Meant to Live (Acoustic Version),3:20,Jon Foreman,The Beautiful Letdown (Deluxe Version),Switchfoot,25,2003
1 of 7,Switchfoot,Fading West,4:18,,"The Edge of the Earth: Unreleased songs from the film ""Fading West""",Switchfoot,22,2014
